scenario,threshold,Recall,Precision,F1
기본 임계,0.5,0.6811681772406848,0.16087142653284497,0.2602739726027397
F1 최대화,0.66,0.4267875125881168,0.23199036566673967,0.3005886942336336
Recall 80% 이상,0.41000000000000003,0.8,0.1348451928299837,0.23078934371459284
